shape,scale
0.795466003,0.138956331
0.776701171,0.145153975
0.775723604,0.145486037
0.762297433,0.152403041
0.769317217,0.144694385
0.776891887,0.142023499
0.793078715,0.140813051
0.777436344,0.140251492
0.779635745,0.14060373
0.773876931,0.1467478
0.776143526,0.144285735
0.771043022,0.145752615
0.768640185,0.147370523
0.782377347,0.143466782
0.787485207,0.132849026
0.783970332,0.146096187
0.776692357,0.145127162
0.770074967,0.140119884
0.792671408,0.135532799
0.784355612,0.138734524
0.792412993,0.134392363
0.791243597,0.133981085
0.795517886,0.134583682
0.786866187,0.138945662
0.786295972,0.141813089
0.775696386,0.146259282
0.780827985,0.143646388
0.781349791,0.136513445
0.783732286,0.139464117
0.785253997,0.137976955
0.785902004,0.137616243
0.780521385,0.14151906
0.786158967,0.135272676
0.797515499,0.131064278
0.805913724,0.131240764
0.790703956,0.142001727
0.790262267,0.138977526
0.786837384,0.137771054
0.795653912,0.133154791
0.797209988,0.135639652
0.796096529,0.135362457
0.79209093,0.133348559
0.782519993,0.140301723
0.78236752,0.138192736
0.79389723,0.133995885
0.79543438,0.132208759
0.788780412,0.143322744
0.77286397,0.142487394
0.781666679,0.141507872
0.791917202,0.13934493
0.773810417,0.140015056
0.78181274,0.136184117
0.782795672,0.141350366
0.785579664,0.142983956
0.777698688,0.143640958
0.773587486,0.151875303
0.766692375,0.152010273
0.761224392,0.146765835
0.785349276,0.146301353
0.778487075,0.137929252
0.776052722,0.138270491
0.801862741,0.128226704
0.813996563,0.126778032
0.804427942,0.131603422
0.804812472,0.131337327
0.803504512,0.131089027
0.799573615,0.129071978
0.81604804,0.12669006
0.808173342,0.127942295
0.805189517,0.130545714
0.799800819,0.128696213
0.801267598,0.140459418
0.794734079,0.139693589
0.772636116,0.138191017
0.772797727,0.138179499
0.767471033,0.139604552
0.770375285,0.138258648
0.770313661,0.150036404
0.769787468,0.152092787
0.767880725,0.152691234
0.761884949,0.160225959
0.755247256,0.153846449
0.763927562,0.153695051
0.756666882,0.153790707
0.758583615,0.155708081
0.753924547,0.14928309
0.752331869,0.154357094
0.765983599,0.149502625
0.7757651,0.140262142
0.780110935,0.140869152
0.784168699,0.140597803
0.78517522,0.131709557
0.789940109,0.14055828
0.777988615,0.137090822
0.791332957,0.135198859
0.786161097,0.138839266
0.787173211,0.137382144
0.806441453,0.136090934
0.799010149,0.12983167
0.809720513,0.129932141
0.801157572,0.130170652
0.797775008,0.137850695
0.795024742,0.140282589
0.781201218,0.140109124
0.783642922,0.136401748
0.79401535,0.137222998
0.789931027,0.135485967
0.786092691,0.135976282
0.794320911,0.137550432
0.782809358,0.136567636
0.78746755,0.136650938
0.797343587,0.138449698
0.781627841,0.14293375
0.772544317,0.13930197
0.798818689,0.134300004
0.799248761,0.131415886
0.804995371,0.134021344
0.798583627,0.134076293
0.796345611,0.134520954
0.7953,0.138493658
0.790771065,0.13824227
0.786520994,0.138174875
0.788390046,0.138005457
0.782011312,0.142595624
0.786327129,0.141719342
0.771489392,0.144056834
0.788180404,0.134307095
0.787184073,0.134141445
0.791337197,0.139027558
0.790067119,0.136624234
0.78553479,0.138524531
0.785684862,0.13927137
0.787187078,0.139238834
0.775405713,0.145992505
0.760445996,0.149922288
0.772020295,0.149371769
0.777988507,0.147514166
0.760445388,0.154945284
0.758266032,0.154590187
0.75672637,0.15184663
0.757306621,0.148792949
0.757288548,0.147743267
0.754583153,0.149550535
0.756445218,0.148275036
0.760177172,0.150651214
0.765958429,0.150497089
0.770519907,0.143718014
0.786176684,0.143153096
0.787199468,0.139418301
0.787092038,0.140760441
0.787488337,0.140735099
0.788742884,0.138694733
0.784749548,0.140112259
0.787846439,0.141249408
0.780553062,0.139002979
0.791635845,0.138795134
0.791037702,0.139612182
0.806472202,0.128188205
0.807142223,0.129749526
0.804524776,0.129432718
0.81180855,0.127174111
0.810200282,0.129358525
0.806661821,0.132844164
0.797538336,0.131486581
0.798984297,0.127664944
0.80971111,0.128672527
0.805691483,0.129459538
0.801940905,0.128234108
0.797792779,0.130447283
0.802865194,0.132778361
0.802125695,0.132468545
0.803825104,0.131139067
0.806319759,0.131229078
0.806402207,0.13045234
0.807042603,0.132712056
0.806138897,0.128170324
0.810166952,0.127243323
0.813584597,0.126463264
0.804612599,0.129460885
0.791482803,0.134841158
0.792647919,0.136073177
0.7986644,0.138269549
0.792361119,0.133684935
0.787380175,0.135722054
0.785680909,0.142054764
0.789876237,0.129502341
0.796321943,0.131909373
0.795208243,0.132542969
0.805677336,0.129349344
0.80682275,0.125101682
0.814459579,0.123657321
0.818066229,0.122219919
0.821045751,0.125861014
0.825057051,0.124601631
0.814801209,0.127487154
0.806831534,0.130068226
0.79909937,0.130779645
0.800933839,0.133801027
0.793183319,0.136040708
0.794009051,0.136559746
0.797773342,0.126313431
0.804149139,0.137533469
0.797377455,0.133379961
0.799337971,0.132899216
0.792873942,0.134491472
0.797679115,0.132164239
0.792862114,0.130690097
0.79452584,0.135951991
0.787838484,0.140305871
0.784059903,0.141776703
0.777796786,0.142386475
