"bigT","HRStar"
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
6,0.62
